title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate,on_risk,on_rural
Labour market and intra-household dynamics in urban Tanzania,"While a large body of literature documents the existence of informal arrangements to share risk across and within households, there has been little research on the various coping strategies through which risk sharing takes place, and how these strategies function. This study attempts to fill this gap in the literature and examine whether, and to what extent, individual labour-supply behaviour is one of such coping strategies used by households facing risk. Our hypothesis is that, as with a small business, individuals adjust their employment behaviour in the event that one of their household members experiences a variation in their labour supply, that is, either gains or loses a job. Using a unique dataset that collects employment histories for each family member in Tanzania, our results confirm our hypothesis and show that the labour supply of the household members is an important determinant of employment transitions, and that these effects are greater for women than for men. In the context of low-income countries, we interpret these findings as evidence that the household works as a risk-sharing institution built around women’s labour supply.",2018.0,,African Journal of Agricultural and Resource Economics,"Sarah Bridges, A. Gaggero, T. Owens",10.22004/AG.ECON.274733,https://www.semanticscholar.org/paper/cf57359642faad7616a079ba47e7e3f27a44cea9,19.0,2.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2018-06-01,True,True
Funeral insurance: An inter-generational commitment device?,"Funeral insurance is a global phenomenon that has existed throughout history and remains hugely popular in Africa today. Yet as a distinct financial device it has received little attention. The question is why it seems, in many contexts, to be preferred over standard life insurance even though the latter is a more flexible product. This paper presents a simple model in which funeral insurance differs from life insurance in that there is a constraint on how the payout is spent. Funeral insurance can therefore serve as an intergenerational commitment device. The model’s key prediction is consistent with South African household data.",2018.0,,Journal of African Economies,Erlend Berg,10.1093/JAE/EJX037,https://www.semanticscholar.org/paper/73a83e6b1efa4f93973cfb73860e0940b3721ace,56.0,5.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://research-information.bris.ac.uk/files/134875591/funeralinsurance.pdf,,2018-06-01,True,True
Social protection in Niger: what have shocks and time got to say ?,"Social protection programs, common in developing countries, can be wide ranging. Expenditures on social schemes are large, but their effectiveness and ability to act as safety nets against shocks can be limited. This paper devises a tractable empirical framework to explore several hypotheses in social protection schemes in Niger. The analyses document two important results. First, non-poverty status and household consumption expenditures decline remarkably when exposed to extreme shocks, that is, declines between 31 and 48 percentage points and 24,278 and 47,549 CFA, respectively. In response, affected households employ a vector of strategies to deal with realized shocks, ranging from the use of livestock holdings to doing nothing. There is evidence of substitution across the shock-strategy set over time. Engaging in migration as a coping mechanism leads to worse household outcomes. This result can be explained by theories of asymmetric information between migrants and their families, and unfavorable labor market conditions at migrants' destination. Second, social transfers are crucial only in the second quarter of the calendar year. Social assistance provided within the second quarter appear to be effective on average and significantly dampens the impact of shocks on households' consumption and vulnerability. The paper interprets this finding as evidence against the long-standing incentive-hypothesis that providing social assistance is a disincentive for households to engage in possible coping strategies, and makes them more sensitive to external shocks for behavioral reasons. The results have important implications for the design and delivery of social assistance programs.",2018.0,,,"Francis Annan, Aly Sanoh",10.1596/1813-9450-8455,https://www.semanticscholar.org/paper/e7448f9568b09a8030399c3d22a6a49767ce8c8e,125.0,7.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://openknowledge.worldbank.org/bitstreams/298843a3-8401-5c0c-8ec3-5aa9ed78dcc5/download,,2018-05-29,True,True
Benefits and costs of risk insurance in selected countries of Asia,"Several risk insurance initiatives have been implemented at the grassroots level for reducing the vulnerability of communities to natural disasters. Despite these efforts, the penetration of risk insurance in developing Asia is poor compared to many developed countries due to several barriers that this sector is facing and the cost of insurance premiums is an important one. Against this background, this study aimed to assess the benefits and costs accrued through community-level risk insurance experiences in the Asia region, evaluate barriers limiting its penetration, and identify interventions for greater risk insurance penetration leading to climate change adaptation and disaster risk reduction. The benefit-cost analysis presented in this paper was based on household surveys conducted in three countries including India, Malaysia and the Philippines. The study has indicated several benefits accrued from risk insurance in the case study countries and a positive benefit-cost ratio. The net positive benefit-cost ratios provide an impetus to promote risk insurance by governments and an important evidence for potential subscribers to consider investing in insurance. Subsidized premiums played an important role in the positive benefit-cost ratios, which helped them in enrolling and in continuing in the insurance schemes. Shortterm risk reduction benefits were seen including the avoidance of distress sale of assets and continuation of normal life aftermath of the disasters. However, the impact of risk insurance on long-term risk reduction and in terms of related investments by the insured could not be well supported by our findings. Agriculture, Benefits, Climate change adaptation, Costs, Disaster risk reduction, Risk insurance",2018.0,,,"Prabhakar Sivapuram, J. Pereira, A. A. Bakar, D. Solomon, Juan Pulhin, J. Cummins",10.30852/SB.2018.265,https://www.semanticscholar.org/paper/cfb60d9b1fe3b140ce2c3e71da4af485fed26c83,14.0,0.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.apn-gcr.org/bulletin/wp-content/uploads/2018/11/05-ARCP2014-08CMY-PRABHAKAR.pdf,['Review'],2018-03-13,True,True
Will Urban Migrants Formally Insure Their Rural Relatives? Family Networks and Rainfall Index Insurance in Burkina Faso,"We present findings from a pilot study exploring whether and how existing ties between urban migrants and rural farmers may be used to provide the latter improved access to formal insurance. Urban migrants in Ouagadougou (the capital of Burkina Faso) originating from nearby villages were offered, at the prevailing market price, a rainfall index insurance product that can potentially protect their rural relatives from adverse weather shocks. The product had an uptake of 22% during the two-week subscription window. Uptake rates were higher by 17-22 ppts among urban migrants who were randomly offered an insurance policy that would make pay-outs directly to the intended beneficiary rather than the subscriber. We argue that rainfall index insurance can complement informal risk-sharing networks by mitigating problems of informational asymmetry and self-control issues.",2018.0,World Development,Urban Economics & Regional Studies eJournal,"H. Kazianga, Z. Wahhaj",10.2139/ssrn.3182474,https://www.semanticscholar.org/paper/d86be79af63511b311ee122495145e355791fabd,36.0,9.0,0.0,"['Economics', 'Business']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Business', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://kar.kent.ac.uk/78660/1/Kazianga%20and%20Wahhaj%20Rainfall%20Insurance%20November%202019.pdf,,2018-03-01,True,True
Social Security and Fighting Poverty in Tunisia,"The objective of this study was to examine the role of social security in fighting poverty in Metlaoui, Tunisia, using survey data collected between July 2012 and January 2014, covering 200 poor households. We used questionnaire data, which gave a thorough analysis of the reactions, behavior, and strategies adopted by poor households as a result of various forms of risk. Social security has an effect on a number of different areas, including health, education, housing, and income. Our methodology explored both complete and partial risk-sharing, to investigate the impact of social security schemes on the strategies adopted by households to cope with economic shocks. The estimation results of different models showed that social security could help social security-covered households choose less costly strategies to cope with risks. However, the role of social security remains insufficient, given that covered households had less confidence in its services and they adopted strategies of self-insurance or income smoothing. Overall, the results showed that social security plays an important role in Metlaoui, but it remains insufficient, especially for households that are not covered by social security and are suffering from heavy health expenditures.",2018.0,,Economies,"Hasna Khemili, Mounir Belloumi",10.3390/ECONOMIES6010012,https://www.semanticscholar.org/paper/3718b3091778848224d4af675cd460b9c29b92f9,31.0,6.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/2227-7099/6/1/12/pdf?version=1519020682,['Review'],2018-02-19,True,True
Heterogeneous Preferences and Risk Sharing at Household Level in China,"This paper investigates the degree of risk sharing across households in China with heterogeneous risk and time preferences from the late 1990s to early 2010s. Standard tests assume homogeneous preferences across households, which may bias the true risk sharing degree if, in reality, preferences correlate with variations of household income. We use household data from the China Health and Nutrition Survey (CHNS) and China Family Panel Studies (CFPS) to show that, in China, the incomes of less risk-averse and less patient households correlate more positively with the aggregate risk. The standard test, which ignores this correlation, shows about 30% of household income shocks pass through to household consumption. However, this number reduces to 3% and becomes insignificant when preferences heterogeneity is accounted for. By comparing this result with that of the US, we find the degree of risk sharing across households in China is similar to that in the US. We argue that this improvement of risk sharing from the standard test to tests with preferences heterogeneity is due to the institutional changes and labour market reforms that took place during the mid-1990s and early 2000s. This gave individuals more freedom in their labour market choices, which makes preferences heterogeneity more relevant, as people can choose occupations more aligned with their preferences. We then use the Research Center on the Rural Economy (RCRE) Fixed Point Rural Household Survey data to provide empirical evidence of the effect of reforms on household risk sharing.",2018.0,,ERN: Urban & Rural Analysis in Developing Economies (Topic),"Jennifer T. Lai, Isabel K. M. Yan, Xingjian Yi",10.2139/ssrn.3120913,https://www.semanticscholar.org/paper/66fbf0bc26d5f4cae77c015af9dd10390c2a50c1,58.0,1.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2018-02-09,True,True
"Comparative Analysis of Non-medical Consumption Pattern between Insured and Uninsured People in Ekiti State, Nigeria","Health Insurance (HI) brings about welfare improvement through improved health status and maintenance of non-medical consumption by ensuring that medical expenditures are smoothened over time. Notwithstanding, available data show that less than 4% of the Nigerian households are covered by national health insurance scheme.This implies weak ability to smoothen consumption over time whenever there is ailment. This paper aims at studying and evaluating the spillover effect of health insurance on non-medical consumption in Ekiti state. A propensity score matching estimation model was adopted to 1500 households across Ekiti state. This is the mean effect of an intervention through the mean difference in the outcomes of the treated and the control groups. The mean expenditure on non-medical consumption was N6947.03. In addition to that, the sign of the coefficient of the effect of health insurance on non-medical consumption is positive, showing that health insurance increases expenditure of insured households on non-medical consumption. Having recognized that insured households can be financially protected against unforeseen medical bill, federal government should encourage the expansion of health insurance by encouraging state government, local government and private sector to enroll their employees in health insurance programme. The paper concludes that health insurance is consumption increasing and therefore be expended to more people at local government areas to further redistribute income from the healthy to the sick.",2017.0,,,"Francis O. Adeyemi, Olayinka A. Lawanson",10.35202/ajhe.2017.6201,https://www.semanticscholar.org/paper/b466d0620e7b1cf0ba83be8d6f7c6d33fb095cf4,38.0,0.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",True,https://doi.org/10.35202/ajhe.2017.6201,,2017-12-01,True,True
"Income shocks, informal insurance mechanisms, and household consumption expenditure: Micro-evidence from Nigeria","Purpose




The purpose of this paper is to examine the effect of income shocks on household real consumption expenditure, taking into account the various informal coping strategies adopted by the households. Using Nigerian Household Panel Survey data for the year 2010/2011 and 2012/2013 respectively, and probit model estimation approach, the results suggest that idiosyncratic shocks have effect on household consumption expenditure and the informal insurance strategies play only limited roles in providing the needed insurance to households in the face of shocks. Also, the effect of shocks vary according to households characteristics, which depends on whether the household is headed by male or female and urban or rural dweller.




Design/methodology/approach




This paper explores the fixed effects and probit model estimation approach to examine the relationship between the effect of covariate and self-reported idiosyncratic shocks on household welfare. The study examines the effectiveness of the various informal coping measures adopted by households against shocks.




Findings




The results suggest that idiosyncratic shocks have been found to have little effect on real consumption expenditure and the informal insurance strategies play only limited roles in providing the much needed insurance to households in the face of shocks. Also, the effect of shocks vary according to households characteristics, whether the household is headed by male or female and urban or rural dweller is important.




Originality/value




The novelty of this essay is to investigate the relationship between variation in self-reported shocks to income across households and real consumption expenditure in Nigeria – a poor, risk-prone country – considering also, the ease with which households adopt the various risk-coping strategies, which help them in smoothing consumption over time.",2017.0,,International Journal of Social Economics,J. Ajefu,10.1108/IJSE-04-2015-0094,https://www.semanticscholar.org/paper/d8da87d98e932678c98947157e4bd0555922cbe8,57.0,9.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2017-11-10,True,True
The Role of Savings and Credit in Coping with Idiosyncratic Household Shocks,"Abstract This study examines the effect of access to formal banking services on households’ ability to smooth consumption in response to illness of adult workers. The institutional peculiarities of Indonesia’s largest commercial bank are exploited to separately estimate the effects of access to formal credit from savings. The means by which households smooth consumption differs depending on their access to formal services. Those with access to formal credit increase borrowing from banks, while those with access only to formal savings, but not credit, draw down on savings. Households without access to formal banking services end up liquidating productive assets.",2017.0,,The Journal of Development Studies,"Stephen B. DeLoach, Marquessa Smith-Lin",10.1080/00220388.2017.1380795,https://www.semanticscholar.org/paper/87487e9f0e88dec0886dbfd3ebec6cd423af670d,33.0,31.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://figshare.com/ndownloader/files/9536860,,2017-08-10,True,True
Idiosyncratic Shocks and Child Labor: Does Gender Matter? Evidence from Indonesia,"This paper aims to analyze the effect of various idiosyncratic shocks against child labor, working hours of children and school participation based on gender. Also, the role of the assets held by households as one of the coping strategies to mitigate the effects of such shocks. The results of random effect probit technique show that girls are more vulnerable and unprotected in the event of idiosyncratic shocks, especially those shocks caused by crop loss and the decline in household income due to price and quantity. Meanwhile, idiosyncratic shock that drives the existence of boys child labor is the death of the head or members of the household.. Additionally, household assets play an important role in reducing the number of child labor and increase school participation but do not affect the working hours of children during a variety of idiosyncratic shocks",2017.0,,Jurnal Ekonomi Pembangunan: Kajian Masalah Ekonomi dan Pembangunan,Bayu Kharisma,10.23917/jep.v18i1.2907,https://www.semanticscholar.org/paper/63319ac4fc9343deaf4eed6154d898bf99a06100,29.0,0.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,http://journals.ums.ac.id/index.php/JEP/article/download/2907/3170,,2017-07-31,True,True
"Age of Marriage, Weather Shocks, and the Direction of Marriage Payments","We study how aggregate economic conditions affect the timing of marriage, and particularly child marriage, in Sub‐Saharan Africa and in India. In both regions, substantial monetary or in‐kind transfers occur with marriage: bride price across Sub‐Saharan Africa and dowry in India. In a simple equilibrium model of the marriage market in which parents choose when their children marry, income shocks affect the age of marriage because marriage payments are a source of consumption smoothing, particularly for a woman's family. As predicted by our model, we show that droughts, which reduce annual crop yields by 10 to 15% and aggregate income by 4 to 5%, have opposite effects on the marriage behavior of a sample of 400,000 women in the two regions: in Sub‐Saharan Africa they increase the annual hazard into child marriage by 3%, while in India droughts reduce such a hazard by 4%. Changes in the age of marriage due to droughts are associated with changes in fertility, especially in Sub‐Saharan Africa, and with declines in observed marriage payments. Our results indicate that the age of marriage responds to short‐term changes in aggregate economic conditions and that marriage payments determine the sign of this response. This suggests that, in order to design successful policies to combat child marriage and improve investments in daughters' human capital, it is crucial to understand the economic role of marriage market institutions.",2017.0,Econometrica,AARN: Human Ecology & Behavioral Ecology (Topic),"L. Corno, N. Hildebrandt, Alessandra Voena",10.2139/ssrn.3466455,https://www.semanticscholar.org/paper/479e8a1afa18dc88861d3f257cc70eed102cfc56,118.0,184.0,21.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.3386/w23604,,2017-07-01,True,True
Smooth Operator: Remittances and Fiscal Shocks,"With 250 million migrants globally, remittances are one of the major sources of income in many developing countries. While there is abundant evidence that remittances facilitate consumption smoothing in receving countries, the literature has not considered whether this effect varies with the fiscal stance and during fiscal shocks. Therefore, we investigate the impact of remittances on the stability of household consumption, using both cross-country and household-level datasets. Our focus is on whether the consumption-smoothing effect changes with fiscal policy phases and whether remittances and government support are substitutes or complements in stabilizing household consumption. We find that remittances help smooth consumption, and hence improve welfare, more during fiscal consolidation episodes, while this impact is insignificant during fiscal expansions. The results also indicate that the effect is more pronounced in countries with greater reliance on remittances.",2017.0,Social Science Research Network,Macroeconomics: Consumption,"K. Beaton, Serhan Cevik, Reza Yousefi",10.5089/9781484307878.001,https://www.semanticscholar.org/paper/82c8546de1c7135e75386fa083756ae091478979,48.0,5.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.elibrary.imf.org/doc/IMF001/24401-9781484307878/24401-9781484307878/Other_formats/Source_PDF/24401-9781484311813.pdf,,2017-07-01,True,True
An Empirical Analysis of Health Shocks and Informal Risk Sharing Networks,"Using panel household survey data from rural Ethiopia, we investigate informal risk sharing against health shocks in the presence of multiple risk sharing networks. We find that neither short‐term nor long‐term health shocks are insured through transfers from networks such as friends, neighbors, and members of informal associations. However, networks related along bloodline such as extended family members provide assistance when health shocks are long‐term such as disabilities. The results show that these networks strategically complement planned component of their transfers which are made on a regular basis such as remittance, entitlement, or chop money (small cash sums for household expenses). Moreover, we find significant history dependence in transfers from not only genetically distant networks but also extended family members as well as formal institutions, which seems to discourage dependency. Finally, the findings suggest significant heterogeneity in transfers.",2017.0,,Andrew Young: W.J. Usery Workplace Research Group (Topic),"A. Woldemichael, Shiferaw Gurmu",10.2139/ssrn.3086060,https://www.semanticscholar.org/paper/8da4210b9476ed05a3d1a0e80e68d851e5a5b8aa,52.0,6.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",False,,['Review'],2017-07-01,True,True
"Idiosyncratic Shocks, Child Labor and School Attendance in Indonesia","This paper investigates the effect of various idiosyncratic shocks against child labor, child labor hour and school attendance. Also, the role of the assets held by households as one of the coping strategies to mitigate the effects of shocks. The results show that various idiosyncratic shocks that encourage child labor is generally caused by crop loss, a disease suffered by the head or member of the household, a decrease in household income due to lower prices and the quantity produced and the death of the head or a family member. This indicates that households are not sheltered from the idiosyncratic shocks and restricted access to formal and informal institutions. Other findings show a variety of idiosyncratic shocks do not affect child labor hour and the school attendance. Additionally, household assets play an important role in reducing the number of child labor and increase school attendance but do not affect the child labor hour during a variety of idiosyncratic shocks.",2017.0,,International Journal of Evaluation and Research in Education,Bayu Kharisma,10.11591/IJERE.V6I2.7588,https://www.semanticscholar.org/paper/90cdc2e01b3340c0392ab67c585d85afb84b8f91,33.0,1.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://mpra.ub.uni-muenchen.de/78887/1/MPRA_paper_78884.pdf,,2017-06-01,True,True
Consumption Vulnerability to Prolonged Illness,"Despite its significance in household welfare, little is known about the capacity of intrahousehold risk sharing arrangements to insure consumption against major health shocks. Using rich health data from the Indonesian Family Life Survey, this study finds no evidence of full insurance against adult morbidity in rural Indonesia. In particular, the results show sizable and significant effects of adult morbidity on food consumption. They imply that, despite the recent health sector reforms of Indonesia, the health insurance system is not effective in shielding agricultural households against some severe and long lasting health shocks. (O12,I15) Copyright © 2015 John Wiley & Sons, Ltd.",2017.0,,Journal of International Development,S. Lim,10.1002/JID.3119,https://www.semanticscholar.org/paper/6c4f3ec9faa753f7559188fc4c1ee473645069fd,21.0,6.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2017-04-01,True,True
Full Information Estimation of Household Income Risk and Consumption Insurance,"Blundell, Pistaferri, and Preston (American Economic Review, 2008, 98(5), 1887-1921) report an estimate of household consumption insurance with respect to permanent income shocks of 36%. Their estimate is imprecise and not robust to weighting scheme for GMM. We propose instead to use quasi maximum likelihood estimation (QMLE). It produces a more precise and significantly higher estimate of consumption insurance at 55%. For sub-groups by age and education, the differences between estimates are even more pronounced. Monte Carlo experiments with non-Normal shocks demonstrate that QMLE is more accurate than GMM.",2017.0,,,"A. Chatterjee, J. Morley, Aarti Singh",10.2139/SSRN.2933226,https://www.semanticscholar.org/paper/403406a21bb1e1c486da61f1ec87287688fc4a7e,17.0,2.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,http://research.economics.unsw.edu.au/RePEc/papers/2019-07.pdf,,2017-03-14,True,True
Consumption and Investment in Resource Pooling Family Networks,"This paper examines a novel motive for resource pooling in family networks in rural economies: to relax credit constraints and facilitate investment in non-collateralizeable assets for which credit market imperfections are most binding. We thus complement established literature examining risk-sharing motives for resource transfers within family networks, as well as motives based on kinship tax obligations. We do so exploiting the Progresa program data, in which family networks can be identified, households are subject to large exogenous resource inflows, and detailed responses on consumption and an array of investments can be tracked in a household panel over five years. We find that for every dollar that accrues to the family network through Progresa transfers, food consumption expenditures increase by around 65c for both households eligible for Progresa and ineligible members of the same family network. Hence the marginal propensity of families to invest/save out of every dollar is around .35, and we document how this is channeled towards easing credit constraints poorer network members face in financing non-collateralizable investments into their children's human capital. We show these consumption and investment benefits of being embedded within a family network are sustained five years after households first experience resource transfers from Progresa. Hence the interplay between resource inflows and resource pooling by family networks can place network members on sustained paths out of poverty.",2017.0,,Macroeconomics: Production & Investment eJournal,"M. Angelucci, G. De Giorgi, Imran Rasul",10.1111/ecoj.12534,https://www.semanticscholar.org/paper/9215469610fc3a0390702a5862b6ce17190fc454,60.0,51.0,2.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://discovery.ucl.ac.uk/1572329/1/Progresa_Investment.pdf,,2017-03-01,True,True
Safety net for agriculture: effect of idiosyncratic income shock on remittance payments,"Purpose - The purpose of this paper is to examine the effect of illness-driven agriculture income shocks on remittance payments in Ghana using a nationally representative household pseudo-panel data set for 1991/1992, 1998/1999 and 2005/2006. Design/methodology/approach - The two-stage least square instrumental variable technique is used. This is compared with the ordinary least squares estimator. Findings - The author finds that households in Ghana use remittances to protect themselves from negative agriculture income shocks. The study further reveals that the protection is resilient in female-headed households. Research limitations/implications - The question of remittances as a safety net mechanism is interesting, but the limitation is the challenges involving the counterfactual setup in studying the effects of endogenous migration choices. Practical implications - The study provides that, as far as microeconomic factors are concerned, remittances increase in times of negative agriculture income shocks attributed to illness in Ghana. Social implications - The finding points to the fact that remittance payments play an essential role as an informal safety net during illness-driven agriculture income shock especially for female-headed households in Ghana. This has an important implication for poverty reduction in Ghana. Originality/value - It provides an empirical test of the claim that remittance flows buffer idiosyncratic shock with micro-level household data that incorporates both internal and international remittances. The paper introduces gender dimension into idiosyncratic shocks’ impact. Also, the data set makes it possible to provide a reliable set of agriculture income shock estimates.",2017.0,,International Journal of Social Economics,Eric Akobeng,10.1108/IJSE-12-2014-0271,https://www.semanticscholar.org/paper/c95a4039ca71807f6b4bf7e9f179749032ced394,53.0,4.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2017-01-09,True,True
"Disasters, Household Decisions, and Insurance Mechanisms: A Review of Evidence and a Case Study from a Developing Country in Asia","This article investigates whether and how Asian people's exposure to a variety of disasters undermine their decisions and welfare. Our case study from Vietnam, based on household panel data, shows that households adopt a variety of coping strategies against the damages caused by disasters especially through credit and labor markets. While the consumption risk sharing networks function effectively at the commune level, market and non-market insurance mechanisms are not sufficient, especially at the regional, national, and international levels. Hence, it is imperative to strengthen market, government, and community based insurance mechanisms to diversify aggregate disaster risks at the individual, national, and regional levels in Asia.",2017.0,,Institutions & Transition Economics: Microeconomic Issues eJournal,Y. Sawada,10.1111/aepr.12154,https://www.semanticscholar.org/paper/5594221d30a6c0482bf9367ab17289794ade4eaa,70.0,19.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",False,,['Review'],2017-01-01,True,True
The Vulnerable Are Not (Necessarily) the Poor,"In this paper I examine the concept of ""vulnerability"" within the context of income mobility of the poor. While the concept of poverty is well developed, the concept of vulnerability is less established in the economic literature. I test for the dynamics of vulnerable households in the UK using Waves 1 - 12 of the British Household Panel Survey and find that, of three different types of risks for which I test, household-specific shocks and economy-wide aggregate shocks have the greatest impact on consumption, in comparison to shocks to the income stream. I find vulnerable households up to at least 10 percentile points above the poverty line. Savings and earnings from a second job are not significantly associated with smoothing consumption of all vulnerable households. The results strongly indicate that income transfers and benefits assist the vulnerable in smoothing consumption. Thus, traditional poverty alleviating policies are not likely to assist the vulnerable.",2016.0,,,S. Bandyopadhyay,10.1108/S1049-258520160000024003,https://www.semanticscholar.org/paper/686ad4a2eb60abc7d4f9fc30b1a8eafd07bcad29,33.0,1.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://qmro.qmul.ac.uk/xmlui/bitstream/123456789/21519/1/Bandyopadhyay%20The%20Vulnerable%20Are%20Not%20%28Necessarily%29%20the%20Poor%202016%20Submitted.pdf,['Review'],2016-11-16,True,True
Endogenous Partial Insurance and Inequality,"
 In this paper, we propose a model of endogenous partial insurance and we investigate its implications for macroeconomic outcomes, such as wealth inequality, asset accumulation, interest rate, and consumption smoothing. To this end, we include participation costs to state-contingent asset markets into an otherwise standard Aiyagari (1994) model. We highlight the resulting nonmonotonic relationship between wealth and insurance-market participation when insurance is costly. Poor households remain uninsured, middle-class households participate in the insurance market, whereas rich households decide to self-insure by only purchasing risk-free assets. After theoretically characterizing the endogenous partial insurance equilibrium, we quantify its effect, emphasizing the roles of a participation channel and an interest rate channel.",2016.0,Journal of the European Economic Association,HEC Paris Research Paper Series,"Eric Mengus, Roberto Pancrazi",10.2139/ssrn.2662437,https://www.semanticscholar.org/paper/5fca99fa25dc5c346ad56a0563b6ce68db4dbe89,88.0,2.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,http://wrap.warwick.ac.uk/114928/1/WRAP-endogenous-partial-insurance-inequality-Pancrazi-2019.pdf,,2016-10-27,True,True
Spillovers of Community-Based Health Interventions on Consumption Smoothing,"Community-based group interventions are a cost-effective way of delivering programs in low-income settings. Design features may influence behaviors beyond those targeted by the intervention. This paper studies spillover effects of a participatory community health intervention in rural Malawi, implemented through a cluster randomized control trial, on an untargeted outcome: consumption smoothing after crop losses. While crop losses reduce consumption growth in the absence of the intervention, households in treated areas compensate for this loss and perfectly insure their consumption. We rule out better self-insurance and labor supply adjustments as drivers, indicating that informal risk sharing must have improved. Suggestive evidence shows that health improvements cannot explain the whole effect and that instead social interactions, which may have alleviated contracting frictions, had a role to play.",2016.0,Economic development and cultural change,Economic Development and Cultural Change,"B. Malde, M. Vera-Hernandez",10.1086/714007,https://www.semanticscholar.org/paper/34dbf09457f657490a3d04ccaf10084e1ff28cc5,72.0,2.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://kar.kent.ac.uk/85795/1/Malde_FINAL_accepted_manuscript_NO_APPENDIX.pdf,,2016-10-18,True,True
