title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate,on_learning,on_rural,benchmark_comparison,distributional_effects,evidence_strength,mechanism_success,policy_implication,long_term_effects,narrative_tone
Knowledge Diffusion and the Adoption of Fertilizer Microdosing in Northwest Benin,"Soil degradation and low crop productivity negatively affect the food security of smallholder farmers in West Africa. Various agricultural techniques have been developed as components of food security interventions, but their effectiveness in addressing food insecurity in part depends upon farmers’ abilities to adopt these techniques. In this paper we present the results of a social network analysis that tracked the flow of information on fertilizer microdosing from our Project Research team (PRs) to Demonstration Farmers (DFs), and from DFs to other Village Farmers (VF) in the village of Koumagou B in northwest Benin. Our findings indicate that both adoption and project awareness of microdosing were low following two years of field trails. Overall, the DFs failed to spread information or promote learning over the trial period, with only 3 of 20 DFs diffusing knowledge to a significant degree (i.e., out-degree >5). After 2 years of trials, the efforts of PRs and DFs were insufficient to mobilize the network to adopt the microdosing technique.",2016.0,,Sustainable Agriculture Research,"D. Natcher, E. Bachmann, J. Pittman, S. Kulshreshtha, M. Baco, P. Akponikpè, D. Peak",10.5539/SAR.V5N3P1,https://www.semanticscholar.org/paper/4b71b168a455cd0b83420b2263be16b4c2d9830a,41.0,11.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://doi.org/10.5539/sar.v5n3p1,,2016-05-03,True,True,falls short of benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,pessimistic
The Role of Social Network and Regional System in Maintaining Livelihood Security of Smallholder Farmers in Central Kenya,"Taking smallholder settlements constituting a relatively compact set of two newly settled villages adjacent Northeastern Slopes of Aberdare, Central Kenya as the main research field, the study: investigates the migration patterns, kinship relations and emerging associational life in the study sites; explores the social networks underpinning the exchange and sharing of information and knowledge by the smallholder farmers; and illuminates the functioning of the regional system driven by local-level area differences arising from ecological gradient of a mountain slope. It draws from both qualitative and quantitative data collected from field surveys between 2007 and 2009. Additional field work was conducted intermitted between 2010 and 2012. Findings reveal that lack of land and the ensuing process of migration led to geographical dispersal of household members and breakdown of common household residence formerly a basis for primary bonds and cohesiveness of the kinship system. Thus, kinship relations have weakened and in their place emerged new associational life at the destination areas for coping with and adapting to uncertainties in the new environment. These local-based associations in the new settlements have Original Research Article Kauti; AJAEES, 8(3): xxx-xxx, 2016; Article no.AJAEES.20368 2 replaced the functions of kinship, market and the state in securing livelihoods for the smallholders. Findings on social networks using the case of seed sources information sharing attest to the fact that, farmers are less dependent on social relations in provision of crop varieties and livestock breeds and are highly dependent on market mechanism, an evidence of farmer’s exposure to variable market forces. However, they are continuously engaged in social learning process. The functioning of the regional system revealed a complementary relationship among the studied settlements especially during crisis times such as drought whereby upland farmers have economic, social, and ecological relationships with lowland farmers. Even though the study is limited to the local scope, it provides a basis for designing policies aimed at rural livelihood security improvement and informs and facilitates targeting of outside interventions such as food security programs which can be built on existing social networks and regional system.",2016.0,,"Asian Journal of Agricultural Extension, Economics and Sociology",M. Kauti,10.9734/AJAEES/2016/20368,https://www.semanticscholar.org/paper/16d5552665c42b9321a0d0dcf47e60fac82febf1,24.0,0.0,0.0,['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Geography', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://doi.org/10.9734/ajaees/2016/20368,['Review'],2016-01-10,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
Quality and Accountability in Healthcare Delivery: Audit Evidence from Primary Care Providers in India,"This paper presents direct evidence on the quality of health care in low-income settings using a unique and original set of audit studies, where standardized patients were presented to a nearly representative sample of rural public and private primary care providers in the Indian state of Madhya Pradesh. Three main findings are reported. First, private providers are mostly unqualified, but they spent more time with patients and completed more items on a checklist of essential history and examination items than public providers, while being no different in their diagnostic and treatment accuracy. Second, the private practices of qualified public sector doctors were identified and the same doctors exerted higher effort and were more likely to provide correct treatment in their private practices. Third, there is a strong positive correlation between provider effort and prices charged in the private sector, whereas there is no correlation between effort and wages in the public sector. The results suggest that market-based accountability in the unregulated private sector may be providing better incentives for provider effort than administrative accountability in the public sector in this setting. While the overall quality of care is low both sectors, the differences in provider effort may partly explain the dominant market share of fee-charging private providers even in the presence of a system of free public healthcare.",2015.0,,Political Economy: Government Expenditures & Related Policies eJournal,"Jishnu Das, A. Holla, Aakash Mohpal, K. Muralidharan",10.1596/1813-9450-7334,https://www.semanticscholar.org/paper/ee848a840b4762f57b3fa3badbbaf00883a4270e,50.0,33.0,0.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,http://crossasia-repository.ub.uni-heidelberg.de/3727/1/Healthcare%20Delivery%20India.pdf,,2015-06-23,True,True,matches theoretical benchmark,benefits poorest,strong evidence,risk mitigated through institutions,suggests partial intervention,sustained over time,neutral
Seeing is Believing? Evidence from an Extension Network Experiment,"Farmers' adoption of existing, improved techniques is a central challenge in Sub-Saharan Africa. Extension agents (EAs) are commonly used to disseminate agricultural techniques and technologies. There is no evidence on what activities and incentive mechanisms can make extension services work for farmers. Within an existing extension network in Mozambique, we compare di usion of sustainable land management (SLM) practices in the classic training and visit (TV and (2) a contact farmer (CF) in each community. Yet, the structure of the extension network implemented by the project does not necessarily guarantee a ow of information from CFs to farmers. The GoM worked with a team of researchers from the World Bank and IFPRI to use the MSDVP as a learning vehicle and set up a Randomized Controlled Trial (RCT) to test the e ectiveness of providing a centralized, direct training and performance-based incentives to CFs in boosting farmers' adoption of sustainable land practices (SLM). The design of the evaluation consists of 3 overlaid treatment arms: (1) the revised TV (2) additional women are designated to receive direct SLM training; and (3) additional performance-based incentives for CFs. The various treatment arms were randomly assigned at the village level (150 treatment, 50 control), using a strati ed procedure at the district level. The report focuses on treatment 1 and comments on the challenges in implementing treatment 3.",2014.0,,World Bank Policy Research Working Paper Series,"Florence Kondylis, V. Mueller, Siyao Zhu",10.23846/OW31118,https://www.semanticscholar.org/paper/390e5522bf5533ba3b69b22e89a90898d99ac64b,91.0,185.0,14.0,"['Economics', 'Geography']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Geography', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.1016/j.jdeveco.2016.10.004,,2014-08-01,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
"Social Capital, Network Effects, and Savings in Rural Vietnam",Information failures are a major barrier to formal financial saving in low-income countries. We explore the extent to which social capital in rural Vietnam plays a role in increasing formal savings where knowledge gaps exist. Social capital is defined as information sharing and the elimination of information asymmetries through active participation in the Women's Union. We consider high- and low-quality networks in terms of the quality of information transmitted. We find that membership of high-quality networks leads to higher levels of saving in formal financial institutions and saving for productive investments. Our results support a role for social capital in facilitating savings and suggest that transmitting financial information through the branches of the Women's Union could be effective in increasing formal savings at grassroots level. We also conclude that it is important to ensure that the information disseminated is accurate given that behavioral effects are also found in networks with low-quality information.,2014.0,,Economics of Networks eJournal,"C. Newman, F. Tarp, Katleen Van den Broeck",10.1111/roiw.12061,https://www.semanticscholar.org/paper/47cac100c2131435f4725ce9fd8305a655cf6d2e,42.0,31.0,1.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://lirias.kuleuven.be/bitstream/123456789/470785/1/Newman_et_al-2014-Review_of_Income_and_Wealth.pdf,,2014-03-01,True,True,matches theoretical benchmark,benefits poorest,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
Learning Through Noticing: Theory and Experimental Evidence in Farming,"Existing learning models attribute failures to learn to a lack of data. We model a different barrier. Given the large number of dimensions one could focus on when using a technology, people may fail to learn because they failed to notice important features of the data they possess. We conduct a field experiment with seaweed farmers to test a model of ""learning through noticing."" We find evidence of a failure to notice: On some dimensions, farmers do not even know the value of their own input. Interestingly, trials show that these dimensions are the ones that farmers fail to optimize. Furthermore, consistent with the model, we find that simply having access to the experimental data does not induce learning. Instead, farmers change behavior only when presented with summaries that highlight the overlooked dimensions. We also draw out the implications of learning through noticing for technology adoption, agricultural extension, and the meaning of human capital.",2012.0,,Economics of Innovation eJournal,"Rema Hanna, S. Mullainathan, Joshua Schwartzstein",10.2139/ssrn.2144852,https://www.semanticscholar.org/paper/f45b47c4ded3761968acb72259f01b17004b6a25,57.0,74.0,1.0,"['Economics', 'Computer Science']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://dash.harvard.edu/bitstream/1/9804491/1/RWP12-044_Hanna.pdf,,2012-09-01,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk not effectively mitigated,suggests partial intervention,unclear durability,pessimistic
Coupled Information Diffusion–Pest Dynamics Models Predict Delayed Benefits of Farmer Cooperation in Pest Management Programs,"Worldwide, the theory and practice of agricultural extension system have been dominated for almost half a century by Rogers' “diffusion of innovation theory”. In particular, the success of integrated pest management (IPM) extension programs depends on the effectiveness of IPM information diffusion from trained farmers to other farmers, an important assumption which underpins funding from development organizations. Here we developed an innovative approach through an agent-based model (ABM) combining social (diffusion theory) and biological (pest population dynamics) models to study the role of cooperation among small-scale farmers to share IPM information for controlling an invasive pest. The model was implemented with field data, including learning processes and control efficiency, from large scale surveys in the Ecuadorian Andes. Our results predict that although cooperation had short-term costs for individual farmers, it paid in the long run as it decreased pest infestation at the community scale. However, the slow learning process placed restrictions on the knowledge that could be generated within farmer communities over time, giving rise to natural lags in IPM diffusion and applications. We further showed that if individuals learn from others about the benefits of early prevention of new pests, then educational effort may have a sustainable long-run impact. Consistent with models of information diffusion theory, our results demonstrate how an integrated approach combining ecological and social systems would help better predict the success of IPM programs. This approach has potential beyond pest management as it could be applied to any resource management program seeking to spread innovations across populations.",2011.0,PLoS Comput. Biol.,PLoS Computational Biology,"F. Rebaudo, O. Dangles",10.1371/journal.pcbi.1002222,https://www.semanticscholar.org/paper/029f20f837f7ff7b368568820a78128558ab5afa,47.0,55.0,0.0,"['Business', 'Medicine', 'Computer Science']","[{'category': 'Business', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1002222&type=printable,"['JournalArticle', 'Review']",2011-10-01,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
"Trade Costs, Export Development, and Poverty in Rwanda","For Rwanda, one of the poorest countries in the world, trade offers the most effective route for substantial poverty reduction. But the poor in Rwanda, most of whom are subsistence farmers in rural areas, are currently disconnected from markets and commercial activities by extremely high transport costs and by severe constraints on their ability to shift out of subsistence farming. The constraints include lack of access to credit and lack of access to information on the skills and techniques required to produce commercial crops. The paper is based on information from the household survey and a recent diagnostic study of constraints to trade in Rwanda. It provides a number of indicative simulations that show the potential for substantial reductions in poverty from initiatives that reduce trade costs, enhance the quality of exportable goods, and facilitate movement out of subsistence into commercial activities.",2005.0,,New Institutional Economics,"N. Diop, P. Brenton, Yakup Asarkaya",10.1596/1813-9450-3784,https://www.semanticscholar.org/paper/782bb83b25a51b67205e6293a97e64528bb9b34f,17.0,33.0,2.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://openknowledge.worldbank.org/bitstreams/f9be2746-9197-5890-bd6c-9a24330b44cb/download,['Review'],2005-12-01,True,True,matches theoretical benchmark,benefits poorest,strong evidence,risk not effectively mitigated,suggests effective intervention,sustained over time,neutral
The role of farmer networks in supporting adaptive capacity: Opening the door for innovation and transformation in the Northeastern United States,"This article explores the role of farmer networks in building the adaptive capacity of small and diversified farmers in the Northeastern United States. Previous research suggests that farmers’ networks are the backbone of practical agricultural knowledge systems in the United States, serving as a critical venue where growers exchange and negotiate new ideas. Drawing upon empirical evidence from a regional survey on climate resilience and a series of focus groups conducted in collaboration with 9 farmer organizations from Pennsylvania to Eastern Canadian provinces, this article examines how the emergence of new ideas and agroecological innovations are influenced by geography, network affiliation, and perceived agency. First, we use regression analysis to identify factors that influence the use of no-till on diversified vegetable and berry farms, which is an emerging innovation in this community. Our analysis shows that geography may not be a significant driver of adoption among the population we sampled, which contrasts with previous research on explanatory factors, yet affiliation with certain farmer networks was significant in predicting the use or intended use of the practice. This quantitative analysis is complemented by qualitative data from a series of focus groups in which farmers identify the characteristics of certain networks which support them in addressing new challenges. Farmers identified that networks support them in learning about new ideas, accessing resources, and engaging in creative problem-solving, through facilitation of spaces for exchange with peers and experts and being responsive to their emerging needs.",2023.0,Elem Sci Anth,Elem Sci Anth,"Alissa White, J. Faulkner, M. Niles, D. Conner, V. E. Méndez",10.1525/elementa.2022.00039,https://www.semanticscholar.org/paper/347bb3632773417f0591f15a236d14bcaf875438,40.0,6.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://online.ucpress.edu/elementa/article-pdf/11/1/00039/786351/elementa.2022.00039.pdf,"['JournalArticle', 'Review']",,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,optimistic
Seed Selection Strategies for Information Diffusion in Social Networks: An Agent-Based Model Applied to Rural Zambia,"The successful adoptionof innovationsdependson theprovisionof adequate information to farmers. In rural areas of developing countries, farmers usually rely on their social networks as an information source. Hence, policy-makers and program-implementers can benefit from social di usion processes to e ectively disseminate information. This study aims to identify the set of farmers who initially obtain information (‘seeds’) that optimises di usion through the network. It systematically evaluates di erent criteria for seed selection, number of seeds, and their interaction e ects. An empirical Agent-Based Model adjusted to a case study in rural Zambia was applied to predict di usion outcomes for varying seed sets ex ante. Simulations revealed that informing farmers with the most connections leads to highest di usion speed and reach. Also targeting village heads and farmers with high betweenness centrality, who function as bridges connecting di erent parts of the network, enhances di usion. An increased number of seeds improves reach, but the marginal e ects of additional seeds decline. Interdependencies between seed set size and selection criteria highlight the importance of considering both seed selection criteria and seed set size for optimising seeding strategies to enhance information di usion.",2020.0,Journal of Artificial Societies and Social Simulation,J. Artif. Soc. Soc. Simul.,"Beatrice Nöldeke, E. Winter, U. Grote",10.18564/jasss.4429,https://www.semanticscholar.org/paper/8d6ed3d3db9fbe360088c1b02e5a97bfbf314da5,93.0,9.0,0.0,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://www.jasss.org/23/4/9/9.pdf,['JournalArticle'],,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
Social Learning through Social Networks and Technological Appropriation: The Role of Peer Effects in the Adoption and Use of the Internet in Cameroonian Tontines,"This article attempts to verify whether tontines constitute a social learning platform for the appropriation of technology that underlies patterns of adoption and use of the Internet in sub-Saharan Africa. It uses for this purpose a survey of 2650 households in the cities of Douala, Buea and Limbe and employs initially two zero-inflated count data models to highlight the Intensity of the practice of tontines and after, simple probit models to detect the presence of favorable peer effects in the association tontines on the likelihood of adoption and use of the Internet in Cameroonian households. The results show that, while in ROSCA-type tontines social learning is uncertain because of neutral peer effects, in association tontines within socio-professional groups peer effects are positive and reinforce the process of adoption. These results confirm the studies on dissocializing Internet carried in United States and Europe at the beginning of the dynamics of its diffusion. However and more important, the results presented here show that peer effects play positively on social learning and technology appropriation that underlie the adoption and use of the Internet not in tontine of ROSCA-type, but in the tontine envisaged in professional groups according to their propensity to use modern values for jobs.",2013.0,,,G. D. Mbondo,10.11648/J.IJEBO.20130105.11,https://www.semanticscholar.org/paper/ef5416a11aa87f1e1b2369e088ba28a214bd8baa,38.0,4.0,0.0,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",True,https://doi.org/10.11648/j.ijebo.20130105.11,['Review'],,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
Attrition in longitudinal household survey data,"Longitudinal household data can have considerable advantages over much more widely used cross-sectional data. The collection of longitudinal data, however, may be difficult and expensive. One problem that has concerned many analysts is that sample attrition may make the interpretation of estimates problematic. Such attrition may be particularly severe in areas where there is considerable mobility because of migration between rural and urban areas. Many analysts share the intuition that attrition is likely to be selective on characteristics such as schooling and that high attrition is likely to bias estimates made from longitudinal data. This paper considers the extent of and implications of attrition for three longitudinal household surveys from Bolivia, Kenya, and South Africa that report very high per-year attrition rates between survey rounds. Our estimates indicate that (1) the means for a number of critical outcome and family background variables differ significantly between attritors and nonattritors; (2) a number of family background variables are significant predictors of attrition; but (3) nevertheless, the coefficient estimates for “standard” family background variables in regressions and probit equations for the majority of the outcome variables considered in all three data sets are not affected significantly by attrition. Therefore, attrition apparently is not a general problem for obtaining consistent estimates of the coefficients of interest for most of these outcomes. These results, which are very similar to results for developed economies, suggest that for these outcome variables—despite suggestions of systematic attrition from univariate comparisons between attritors and nonattritors, multivariate estimates of behavioral relations of interest may not be biased due to attrition.",2000.0,,,"H. Alderman, S. Watkins, H. Kohler, J. Maluccio, J. Behrman",10.4054/demres.2001.5.4,https://www.semanticscholar.org/paper/b53ffd0032904bd7c74dde2cd63d9295d3d6df15,23.0,187.0,24.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.demographic-research.org/volumes/vol5/4/5-4.pdf,['Review'],,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk not effectively mitigated,suggests partial intervention,sustained over time,neutral
