title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate
A business model for success: Enterprises serving the base of the pyramid with off-grid solar lighting,,2017.0,,Renewable & Sustainable Energy Reviews,Inara K. Scott,10.1016/J.RSER.2016.11.179,https://www.semanticscholar.org/paper/825c59b4dafaacc9ffe0e460226afb1a818b9db2,46.0,53.0,3.0,['Engineering'],"[{'category': 'Engineering', 'source': 'external'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}]",False,,,2017-04-01
How Sustainable are Benefits from Extension for Smallholder Farmers? Evidence from a Randomized Phase-Out of the BRAC Program in Uganda,,2017.0,Social Science Research Network,Political Economy - Development: Domestic Development Strategies eJournal,"R. Fishman, Stephen C. Smith, Vida Bobić, M. Sulaiman",10.2139/ssrn.2940631,https://www.semanticscholar.org/paper/9b6cf46e42886d245a65d5b38b7370a8319719a5,35.0,9.0,2.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://econpapers.repec.org/scripts/redir.pf?u=https%3A%2F%2Fdocs.iza.org%2Fdp10641.pdf;h=repec:iza:izadps:dp10641,,2017-03-26
MICRO Contracting for Tacit Knowledge - A study of contractual arrangements in international technology transfer,,2017.0,,Problems and perspectives in management,"Yongjian Bao, Shuming Zhao",,https://www.semanticscholar.org/paper/aa631e5ce5115b6a822b492fbd2a308f2b450304,141.0,1.0,1.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}]",False,,,2017-03-26
"Analysis of Factors Affecting Canola Plantation Development in Tabriz and Marand Counties, Iran",,2017.0,,International Journal of Agricultural Management and Development,"G. Dashti, B. Hayati, Noushin Bakhshy, M. Ghahremanzadeh",,https://www.semanticscholar.org/paper/7314a08bb7592dae22a8ebec93f19f28063a7f7e,31.0,2.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2017-03-01
Cricket farming as a livelihood strategy in Thailand,,2017.0,,The Geographical Journal,"A. Halloran, N. Roos, Y. Hanboonsong",10.1111/GEOJ.12184,https://www.semanticscholar.org/paper/c897a2311aaaf2baa17a893cb1078b46ea23dc31,36.0,51.0,2.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",False,,,2017-03-01
Engineering Growth: Innovative Capacity and Development in the Americas,,2017.0,Social Science Research Network,Labor: Human Capital eJournal,"W. Maloney, Felipe Valencia Caicedo",10.2139/ssrn.2932756,https://www.semanticscholar.org/paper/d2bea79aaccc5a0c151ca041b5f797d22ce5f778,199.0,33.0,1.0,['Engineering'],"[{'category': 'Engineering', 'source': 'external'}, {'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'History', 'source': 's2-fos-model'}]",True,https://www.cesifo.org/DocDL/cesifo1_wp6339.pdf,,2017-02-20
Teamwork assessment in the educational web of data: A learning analytics approach towards ISO 10018,,2017.0,Telematics and informatics,Telematics Informatics,"Miguel Ángel Conde González, Ricardo Colomo Palacios, F. García-Peñalvo, X. Larrucea",10.1016/J.TELE.2017.02.001,https://www.semanticscholar.org/paper/74f0e50eba97e5e052ae26d6fc589f66475beb7a,64.0,42.0,1.0,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2017-02-17
Productivity and household welfare impact of technology adoption: Micro-level evidence from rural Ethiopia,,2017.0,,Research Papers in Economics,Tigist Mekonnen,,https://www.semanticscholar.org/paper/3c1d822b51e5218dc3a9ad80074cf7d623326f69,88.0,21.0,4.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2017-02-06
Impact of agricultural technology adoption on market participation in the rural social network system,,2017.0,,,Tigist Mekonnen,,https://www.semanticscholar.org/paper/236699bcc6b0c32154ac064dc5229629fd50bc99,64.0,7.0,1.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2017-02-06
The adoption potential of Conservation Agriculture technologies in Malawi: A lead farmer promoter-adopter approach and assessment,,2017.0,,,"M. Fisher, S. Holden, S. Katengeza",,https://www.semanticscholar.org/paper/7e5e28b14b7dab016e0a794518beb818b2797bf0,18.0,3.0,0.0,['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2017-01-26
"The Mission: Human Capital Transmission, Economic Persistence and Culture in South America",,2017.0,Quarterly Journal of Economics,,Felipe Valencia Caicedo,10.1093/QJE/QJY024,https://www.semanticscholar.org/paper/3b19cac1d75aeacae5c0fb261433140f168cfae1,229.0,200.0,14.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'History', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://academic.oup.com/qje/article-pdf/134/1/507/27494554/qjy024.pdf,,2017-01-24
Access to Household Resources and Human Development: Evidence from Survey Data for Tanzania,,2017.0,,Journal of Human Development and Capabilities,"Amarakoon Bandara, Rajeev Dehejia, Shaheen Lavie-Rouse",10.1080/19452829.2016.1270920,https://www.semanticscholar.org/paper/ab91507732bf0e118ab779b3ac8fef2ec8d7aae2,51.0,4.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",False,,['Review'],2017-01-24
Do Multinationals Transfer Culture? Evidence on Female Employment in China,,2017.0,Social Science Research Network,Organizations & Markets: Policies & Processes eJournal,"Heiwai Tang, Yifan Zhang",10.1016/J.JINTECO.2021.103518,https://www.semanticscholar.org/paper/8a5d4d521078b4aa09c37a0e2fccee1607f2d07e,102.0,51.0,5.0,"['Economics', 'Business']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.cesifo.org/DocDL/cesifo1_wp6295.pdf,,2017-01-24
The Local Effects of an Innovation: Evidence from the French Fish Market,,2017.0,,CEPR Discussion Paper Series,"L. Gobillon, F. Wolff",10.1016/J.ECOLECON.2020.106594,https://www.semanticscholar.org/paper/e65b553759b52fcf468f8a89f358f17bcf4c9020,39.0,10.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://www.sciencedirect.com/science/article/am/pii/S0921800919311954,,2017-01-01
"The Role of Learning in Technology Adoption: Evidence on Hybrid Rice Adoption in Bihar, India",,2016.0,,Development Economics: Agriculture,"Jared Gars, Patrick S. Ward",,https://www.semanticscholar.org/paper/bb11de2db5088142f433b58bcbdeed24cbb5166f,50.0,24.0,0.0,['Engineering'],"[{'category': 'Engineering', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2016-12-22
"Two models of social learning in networks, with concepts drawn from economics and physics",,2016.0,,The European Physical Journal Special Topics,"K. Chatterjee, Souvik Roy",10.1140/EPJST/E2016-60205-9,https://www.semanticscholar.org/paper/1b1139b7a3498cbeb76bd89cc56d84ed0d8a097c,22.0,0.0,0.0,,"[{'category': 'Physics', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2016-12-22
Behavioral Spillovers in Organizations: A Selective Review,,2016.0,,,Miguel A. Martínez-Carrasco,10.1108/S0193-230620160000019009,https://www.semanticscholar.org/paper/39e3008a84fc46bbbaab45e4562e220d9055a3c1,87.0,0.0,0.0,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]",False,,['Review'],2016-12-18
The profitability of inorganic fertilizer use in smallholder maize production in Tanzania: Implications for alternative strategies to improve smallholder maize productivity,,2016.0,,,"D. Mather, I. Minde, B. Waized, D. Ndyetabula, A. Temu",10.21955/GATESOPENRES.1114923.1,https://www.semanticscholar.org/paper/f3ef35124ce82f1acf30594e8d3663446052091d,35.0,23.0,7.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2016-12-12
Reducing Discrimination with Reviews in the Sharing Economy: Evidence from Field Experiments on Airbnb,,2016.0,Management Sciences,ERN: Other Microeconomics: Asymmetric & Private Information (Topic),"Ruomeng Cui, Jun Li, Dennis J. Zhang",10.2139/ssrn.2882982,https://www.semanticscholar.org/paper/b5cfbbeb65528426456b860acca8cfb79ecbfca1,62.0,215.0,18.0,"['Business', 'Computer Science']","[{'category': 'Business', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Review']",2016-12-08
Factors Constraining Farmers’ Adoption of New Agricultural Technology Programme in Hambantota District in Sri Lanka: Perceptions of Agriculture Extension Officers,,2016.0,,ERN: Agriculture & the Environment (Topic),"K. B. N. Silva, Tom Broekel",10.2139/ssrn.2910350,https://www.semanticscholar.org/paper/d64d7a3d199d8051e7c8c33c8ed135bf7a438c63,27.0,23.0,2.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",False,,,2016-12-08
Social Interactions and Aspirations Formation in Rural Ethiopia,,2016.0,,ERN: Human Development in Developing Economies (Topic),D. Mekonnen,10.2139/ssrn.2882542,https://www.semanticscholar.org/paper/ea0b6303ba7a3e8d21d9b7861b5c440d3a70ca85,37.0,3.0,1.0,['Sociology'],"[{'category': 'Sociology', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://ageconsearch.umn.edu/record/250150/files/ZEF%20DP%20228.pdf,['Review'],2016-12-01
"Competências organizacionais, trajetória tecnológica e aprendizado local na agricultura: o paradoxo de Prebisch","O tema da inovacao tecnologica na agricultura e tratado na literatura economica primordialmente no debate sobre o desenvolvimento economico, com destaque dado aos problemas dos paises perifericos. Para entender a evolucao do moderno setor agricola, e necessario um enfoque mais amplo de debate, o qual remete ao paradoxo de Prebisch: o setor agricola e capaz de gerar progresso tecnico e valor agregado, bem como promover o desenvolvimento de regioes agroexportadoras. A inovacao tecnologica nao implica somente na aquisicao de insumos modernos, mas na gestao do conhecimento tacito e especifico incorporado nas tecnologias. A capacidade de inovar depende do gerenciamento produtivo dos agricultores. O produtor investe no intuito de incorporar novas tecnologias, aumentar o aprendizado e ampliar a capacidade de absorcao de conhecimento. O estudo aponta para a importância das fontes externas de conhecimento, seja em termos do aprendizado pela experiencia ou do efeito de transbordamento da acumulacao de conhecimento em rede.",2016.0,,Economia E Sociedade,"J. V. Filho, J. M. Silveira",10.1590/1982-3533.2016V25N3ART4,https://www.semanticscholar.org/paper/ed33ddf21c422bced347e7ab318e1a64becc3f56,43.0,14.0,0.0,['Philosophy'],"[{'category': 'Philosophy', 'source': 'external'}]",True,http://www.scielo.br/pdf/ecos/v25n3/1982-3533-ecos-25-03-00599.pdf,,2016-12-01
E-learning and wellbeing of those in poverty in Bangladesh,,2016.0,,,Abureza M. Muzareba,,https://www.semanticscholar.org/paper/ed3e4c8a315a2b30849a39f2f9b30440e919b596,645.0,0.0,0.0,['Sociology'],"[{'category': 'Sociology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2016-11-28
Three essays on the production and investment decisions of households living in rural India,,2016.0,,,Esther Gehrke,10.25595/1256,https://www.semanticscholar.org/paper/200af6ecceece5cc22ad75bcd475f53058bd7b3c,99.0,0.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",False,,,2016-11-22
Network effects on strategic interactions: A laboratory approach,,2016.0,,Journal of Economic Behavior and Organization,"Yang Zhang, Xiao-ze Du",10.1016/J.JEBO.2017.08.017,https://www.semanticscholar.org/paper/17955f410af5beb8f9cc3d56f152860862d83711,63.0,4.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://kar.kent.ac.uk/101259/1/JEBO%204135%20Network%20Effects%20on%20Strategic%20Interactions%20A%20Laboratory%20Approach.pdf,,2016-11-08
"A Duration Analysis Approach to Variety Change in Wheat Farms in Bihar, India",,2016.0,,,"M. Ray, M. Maredia",,https://www.semanticscholar.org/paper/016378b938d61f363e1cf60c2f77e8d48df72c83,23.0,1.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",False,,,2016-11-05
Price Pressure and Overnight Seasoned Equity Offerings,,2016.0,Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis,M. Gustafson,10.1017/S0022109017001181,https://www.semanticscholar.org/paper/d8863f2fb42990ccd16dc67d07a51cdabcc2e178,69.0,26.0,2.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}]",False,,,2016-11-01
Rewarding schooling success and perceived returns to education: evidence from India,,2016.0,,LSE Research Online Documents on Economics,"S. Sequeira, Johannes Spinnewijn, Guo Xu",10.1016/J.JEBO.2016.08.015,https://www.semanticscholar.org/paper/146d01c8f965f42e254c05cd9b71c0765069dbc8,52.0,26.0,0.0,"['Economics', 'Psychology']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Education', 'source': 's2-fos-model'}]",True,http://eprints.lse.ac.uk/68279/1/SEqueira%20et%20al._Rewarding%20schooling%20success1.pdf,,2016-11-01
"Accounting for the “Little Divergence”: What drove economic growth in pre-industrial Europe, 1300–1800?",,2016.0,,European Review of Economic History,"A. D. Pleijt, J. L. Zanden",10.1093/EREH/HEW013,https://www.semanticscholar.org/paper/20b4c005af1eaa58cbf9debb5b8d0fbce7eeebd7,85.0,97.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'History', 'source': 's2-fos-model'}]",True,https://academic.oup.com/ereh/article-pdf/20/4/387/20045896/hew013.pdf,,2016-11-01
Three Essays on Applied Aspects of Transaction Costs.,,2016.0,,,F. Santeramo,,https://www.semanticscholar.org/paper/dc8d2b9aad66c6727b1b4237b6d6aca495d92239,58.0,0.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2016-11-01
The promise (and pitfalls) of ICT for agriculture initiatives,,2016.0,,Agricultural Economics,"J. Aker, Ishita Ghosh, J. Burrell",10.1111/AGEC.12301,https://www.semanticscholar.org/paper/234e5a464f931268505c22847bcb50d0bfd3fa5d,80.0,296.0,20.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",False,,,2016-11-01
"Organizational Design and Space: The Good, the Bad, and the Productive",,2016.0,,Harvard Business School Working Papers,"M. Housman, Dylan Minor",10.2139/ssrn.2805578,https://www.semanticscholar.org/paper/d60ff7d9f3224e2ea811d76af0d3de368e7b2baa,33.0,6.0,1.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2016-10-30
Peer Influence on Young Adults' Products Purchase Decisions,,2016.0,,,"Hasan Khan, Y. Kamal, Shehroz Saleem",10.22547/BER/8.SE.6,https://www.semanticscholar.org/paper/c8d91be264293ba56a2d628b81ef45a65a206754,30.0,42.0,5.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}]",True,https://doi.org/10.22547/ber/8.se.6,,2016-10-30
Determinants of loan demand in agriculture: empirical evidence from Germany,,2016.0,,Agricultural Finance Review,"W. Fecke, Jan‐Henning Feil, O. Musshoff",10.1108/AFR-05-2016-0042,https://www.semanticscholar.org/paper/2aaaff6bf82d3a40dbdc053707c32ac285b4c470,46.0,20.0,1.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2016-10-19
"Specialization Dynamics, Convergence, and Idea Flows",,2016.0,,International Trade eJournal,Liuchun Deng,10.2139/ssrn.2871162,https://www.semanticscholar.org/paper/a16662d47eebfcb849c3afc73eed2d2ca0a57737,75.0,3.0,0.0,"['Economics', 'Computer Science']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,http://www.seriesworkingpapers.it/RePEc/bai/series/SERIES_WP_09-2016.pdf,,2016-10-13
"Technology Adoption in Education: Usage, Spillovers and Student Achievement",,2016.0,Social Science Research Network,ERN: Technology (Topic),Peter Bergman,10.1257/rct.1220-1.0,https://www.semanticscholar.org/paper/15b1b0933ca53cb0cb24c68566af2c0c5927f867,49.0,13.0,2.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",True,https://www.cesifo.org/DocDL/cesifo1_wp6101.pdf,,2016-10-05
Application for social programs: the role of local politics and caste networks in affirmative action in India,,2016.0,,,Véronique Gille,,https://www.semanticscholar.org/paper/644a0e938ec819aa1650ae58ca511a86cdf90d07,25.0,1.0,0.0,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",False,,,2016-10-01
Value Chains and Technology Transfer to Agriculture in Developing and Emerging Economies,,2016.0,,Wiley-Blackwell: American Journal of Agricultural Economics,R. Kuijpers,10.1093/ajae/aaw069,https://www.semanticscholar.org/paper/a38c80766a60c10e172a4a9f2ac007f9c19697a4,92.0,57.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://lirias.kuleuven.be/bitstream/123456789/545528/4/aaw069%20copy%20of%20originally%20submitted%20manuscript%20with%20correct%20footnotes.pdf,['Review'],2016-10-01
Supply Chain Design and Adoption of Indivisible Technology,,2016.0,,Agricultural & Natural Resource Economics eJournal,"Liang Lu, T. Reardon, D. Zilberman",10.1093/ajae/aaw076,https://www.semanticscholar.org/paper/d07b8759ca8b2b51a038a999cb8194c62f9c83bd,27.0,33.0,2.0,"['Business', 'Economics']","[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://ageconsearch.umn.edu/record/212811/files/Lu%202016.pdf,,2016-10-01
Factors limiting the yam minisett technique adoption: A review,,2016.0,,Agricultural Reviews,"R. Y. Ilesanmi, O. Akinmusola",10.18805/AR.V0I.11285,https://www.semanticscholar.org/paper/26862898b03d257cd8186c3974889afad1af5690,53.0,6.0,1.0,['Mathematics'],"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",False,,['Review'],2016-09-29
A study on research hot-spots and frontiers of agricultural science and technology innovation – visualization analysis based on the Citespace III,"At present, the fundamental development way of agricultural production lies in science and technology to achieve the agricultural sustainable and stable development and ensure the eff ective supply of agricultural products for a long time. Many Chinese scholars had done many researches about the agricultural science and technology innovation. Numerous scholars got much valuable research conclusions for improving the construction of agricultural science and technology innovation system. However, there were still some problems existing in the current agricultural science research system, such as that the agricultural science and technology studies were divorced from the agricultural production, the mechanism of the market was still imperfect, there was an unreasonable layout in the agricultural science and technology. Th erefore, we wanted to know the dynamic and the evolution path of the international agricultural science and technology innovation. What is more, we wanted to know whether there was a signifi cant diff erence between the domestic and overseas agricultural science and technology innovation and if the international experience was good for the development of the Chinese agricultural science and technology innovation. So, there was analysed the research theme, the hot-spots and frontiers of international agricultural science and technology innovation based on the Citespace III to get the situation and character of the relevant international research.",2016.0,,Agricultural Economics-zemedelska Ekonomika,"Qi-Qi Chen, Jun-biao Zhang, Huo Yu",10.17221/207/2015-AGRICECON,https://www.semanticscholar.org/paper/6d9a545dc5f50f3cc8a4e29818bbbefe52d70e60,46.0,16.0,1.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://www.agriculturejournals.cz/publicFiles/207_2015-AGRICECON.pdf,,2016-09-14
The Sustainability Of Project Outcomes From Farmer-Led Dissemination Of High-Yielding Groundnut Rosette Disease Resistant Groundnut Varieties,,2016.0,,,"J. Jelliffe, B. Bravo‐Ureta, C. Deom, D. Okello",,https://www.semanticscholar.org/paper/6cfc1587629572086c68fb2207af637be2924c14,58.0,0.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",False,,,2016-09-01
Impacts of improved sorghum varieties on farm families in Mali: A Multivalued Treatment Effects approach,,2016.0,,,"Amidou Assima, M. Smale, A. Kergna",,https://www.semanticscholar.org/paper/204c65f32a0779a0bbc14d35234bc9cd618e50b3,13.0,1.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2016-09-01
Do Beliefs about Agricultural Inputs Counterfeiting Correspond with Actual Rates of Counterfeiting?: Evidence from Uganda,,2016.0,,Agricultural & Natural Resource Economics eJournal,"Maha Ashour, Lucy Billings, D. Gilligan, Jessica B. Hoel, Naureen Karachiwalla",,https://www.semanticscholar.org/paper/3823efdc572081c163262f55a075b11688508551,79.0,29.0,4.0,['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2016-08-26
Resolving ambiguity as a public good: experimental evidence from Guyana,,2016.0,Theory and Decision,Theory and Decision,"Kaywana Raeburn, Sonia Laszlo, J. Warnick",10.1007/s11238-022-09910-y,https://www.semanticscholar.org/paper/fdaa488bdce0d31b35071d49d7398cf57f95d767,53.0,1.0,0.0,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://cirano.qc.ca/files/publications/2016s-41.pdf,,2016-08-24
"Land, Child Labor, and Schooling: Longitudinal Evidence from Colombia and Mexico",,2016.0,,Development Economics: Regional & Country Studies eJournal,Julian Arteaga-Vallejo,10.2139/ssrn.2821963,https://www.semanticscholar.org/paper/c5bac0ae70e681521015a055bbf7c8fad87d6aad,29.0,1.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://repositorio.uniandes.edu.co/bitstreams/49111960-ff1b-4ffb-aba7-844b611cc535/download,,2016-08-11
Monitoring Innovation,,2016.0,Games Econ. Behav.,ERN: Information Asymmetry Models (Topic),A. Rodivilov,10.2139/ssrn.3039227,https://www.semanticscholar.org/paper/468d3da0509eadc6bde4b5699cb7e70c21a70997,84.0,5.0,1.0,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2016-08-09
Investigating the drivers of innovation diffusion in a low income country context. The case of adoption of improved maize seed in Malawi,,2016.0,,Futures,"Sebastian Derwisch, P. Morone, K. Tröger, B. Kopainsky",10.1016/J.FUTURES.2015.08.011,https://www.semanticscholar.org/paper/d55fd3551f770fb0174c8dc9788d32e9be9544fa,45.0,14.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2016-08-01
Networks: An Economic Perspective,,2016.0,arXiv.org,IO: Theory eJournal,"M. Jackson, Brian W. Rogers, Y. Zenou",,https://www.semanticscholar.org/paper/10fc57e98cdeb78eabfe0239fa7af54aba2c50cd,152.0,25.0,0.0,"['Physics', 'Computer Science', 'Economics']","[{'category': 'Physics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2016-08-01
Making networks work for policy: evidence from agricultural technology adoption in Malawi,,2016.0,,,"Lori Beaman, Ariel BenYishay, Paul Fatch, Jeremy R. Magruder, A. M. Mobarak",10.23846/OW31236,https://www.semanticscholar.org/paper/19e85c539b7ec39fce6a36bd31ec2975eb543f78,59.0,72.0,2.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.3ieimpact.org/sites/default/files/2019-11/IE104-OW3.1237-Fertility%20Choices-Zambia.pdf,,2016-08-01
Credibility and Strategic Learning in Networks,,2016.0,,Monetary Economics eJournal,"K. Chatterjee, Bhaskar Dutta",10.1111/iere.12175,https://www.semanticscholar.org/paper/21158e518163b7585fafe2e153d2a6d31cb596ca,34.0,35.0,3.0,"['Computer Science', 'Economics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,http://wrap.warwick.ac.uk/83244/1/WRAP_8779629-ec-310117-b_dutta_bzzapril10_15.pdf,,2016-08-01
